brand,model,type,movement,case_diameter,strap_material,price,style,water_resistance,features
Seiko,Presage Cocktail Time,Analog,Automatic,40.5,Leather,22000,Dress,50,"Date,Sapphire Crystal"
Casio,G-Shock DW5600,Digital,Quartz,42.8,Resin,6500,Sport,200,"Shock Resistant,Illuminator"
Fossil,Grant Chronograph,Chronograph,Quartz,44,Leather,8995,Casual,30,"Chronograph,Date Display"
Timex,Weekender,Analog,Quartz,38,Fabric,3995,Casual,30,"Indiglo Light,Interchangeable Strap"
Citizen,Eco-Drive Chandler,Analog,Solar,42,Canvas,11500,Sport,100,"Date Display,Glow Hands"
Daniel Wellington,Classic Sheffield,Analog,Quartz,40,Leather,9999,Minimalist,30,"Minimal Design,Slim Profile"
Orient,Bambino Version IV,Analog,Automatic,42,Leather,13500,Dress,30,"Date Display,Domed Crystal"
Tissot,Everytime Swissmatic,Analog,Automatic,40,Leather,29900,Minimalist,30,"Sapphire Glass,Swiss Movement"
Casio,Edifice EFR-539,Chronograph,Quartz,45,Metal,12450,Sport,100,"Chronograph,Date,Stainless Steel"
Rolex,Datejust 36,Analog,Automatic,36,Metal,600000,Luxury,100,"Cyclops Lens,Chronometer Certified"
Omega,Seamaster Aqua Terra,Analog,Automatic,41.5,Metal,425000,Luxury,150,"Anti-Magnetic,Master Chronometer"
Swatch,Irony Big Classic,Analog,Quartz,42,Metal,6000,Casual,30,"Day-Date,Luminous Hands"
Seiko,5 Sports SRPD55K1,Analog,Automatic,42.5,Metal,18000,Sport,100,"Luminous,Day-Date"
Casio,Vintage F91W,Digital,Quartz,33.5,Resin,1295,Minimalist,30,"Alarm,Stopwatch"
Fossil,Neutra Chrono,Chronograph,Quartz,44,Leather,10995,Casual,50,"Chronograph,Date"
Timex,Expedition Scout,Analog,Quartz,40,Leather,5495,Sport,50,"Indiglo,Military Time"
Citizen,Eco-Drive Brycen,Analog,Solar,44,Metal,18500,Sport,100,"Chronograph,Date Display"
Tag Heuer,Formula 1,Chronograph,Quartz,43,Metal,105000,Luxury,200,"Tachymeter,Luminous"
Hamilton,Khaki Field Mechanical,Analog,Mechanical,38,Fabric,35500,Dress,50,"Hand-wound,Lume"
Tissot,PRX Quartz,Analog,Quartz,40,Metal,34000,Minimalist,100,"Integrated Bracelet,Sapphire Crystal"
Casio,Pro Trek PRT-B50,Digital,Quartz,50.8,Resin,18500,Sport,100,"Compass,Altimeter,Barometer"
Swatch,Big Bold,Analog,Quartz,47,Plastic,7500,Casual,30,"Bold Colors,Large Dial"
Seiko,Prospex Turtle,Analog,Automatic,45,Metal,30000,Sport,200,"Diver’s Watch,Luminous Hands"
Fossil,The Minimalist Slim,Analog,Quartz,44,Leather,7495,Minimalist,30,"Slim Profile,Date"
Timex,Marlin Automatic,Analog,Automatic,40,Leather,14995,Dress,30,"Vintage Design,Domed Acrylic"
Citizen,Eco-Drive Stiletto,Analog,Solar,39,Metal,25000,Dress,30,"Ultra Thin,Date"
Omega,Speedmaster Professional,Chronograph,Manual,42,Metal,500000,Luxury,50,"Moonwatch,Chronograph"
Rolex,Submariner Date,Analog,Automatic,41,Metal,950000,Luxury,300,"Rotating Bezel,Luminous Markers"
Casio,A168W,Digital,Quartz,36,Metal,1895,Casual,30,"LED Light,Stopwatch"
Orient,Sun and Moon V3,Analog,Automatic,42.5,Leather,18500,Dress,50,"Sun/Moon Display,Date"
Tissot,Gentleman Powermatic 80,Analog,Automatic,40,Leather,52000,Dress,100,"Silicon Balance,Date Display"
Casio,G-Shock GA-2100,Analog-Digital,Quartz,48.5,Resin,9995,Sport,200,"Carbon Core Guard,World Time,LED Light"
Casio,Edifice ECB-20,Chronograph,Quartz,48.7,Stainless Steel,14995,Sport,100,"Bluetooth,Tough Solar,Phone Finder"
Casio,Vintage B640WD,Digital,Quartz,38.9,Stainless Steel,3495,Casual,50,"LED Backlight,Stopwatch,Alarm"
Casio,Pro Trek PRW-6600Y-1A9,Analog-Digital,Tough Solar,51.5,Resin,29995,Sport,100,"Triple Sensor,Radio Controlled,Compass"
Casio,G-Shock Mudmaster GWG-2000,Analog-Digital,Tough Solar,61.2,Resin,55995,Sport,200,"Mud-Resistant,Barometer,Altimeter"
Casio,Edifice EFR-S108D,Analog,Quartz,39.9,Stainless Steel,9995,Dress,100,"Sapphire Crystal,Slim Design"
Casio,Vintage A700W,Digital,Quartz,35.5,Stainless Steel,2995,Minimalist,30,"Slim Case,LED Light"
Casio,G-Shock GM-2100,Analog-Digital,Quartz,49.3,Stainless Steel,11995,Sport,200,"Metal Bezel,Shock Resistant,World Time"
Casio,Edifice EFS-S570,Chronograph,Tough Solar,45.6,Stainless Steel,13495,Sport,100,"Sapphire Glass,Solar Powered"
Casio,G-Shock GBA-800,Analog-Digital,Quartz,54.1,Resin,7995,Sport,200,"Bluetooth,Step Tracker,Dual Time"
Casio,Baby-G BGD-560,Digital,Quartz,44.7,Resin,4995,Sport,200,"Shock Resistant,Waterproof,EL Backlight"
Casio,Edifice EFV-540,Chronograph,Quartz,48.5,Stainless Steel,6995,Casual,100,"Mineral Glass,Date Display"
Casio,Sheen SHE-4532PGL,Analog,Quartz,34,Leather,7495,Dress,50,"Swarovski Crystals,Sapphire Crystal"
Casio,G-Shock DW-9052,Digital,Quartz,48.5,Resin,6495,Sport,200,"Stopwatch,Alarm,EL Backlight"
Casio,Vintage A158WA,Digital,Quartz,36.8,Stainless Steel,1995,Casual,30,"Micro Light,Stopwatch"
Casio,Edifice EQB-501,Chronograph,Tough Solar,52,Stainless Steel,19995,Sport,100,"Bluetooth,Tough Solar,World Time"
Casio,G-Shock GST-B400,Analog-Digital,Tough Solar,46.6,Stainless Steel,17995,Sport,200,"Carbon Core Guard,Bluetooth,Solar"
Casio,Vintage CA-53W,Digital,Quartz,42,Resin,2495,Casual,30,"Calculator,Dual Time,Alarm"
Casio,Edifice EFR-556,Chronograph,Quartz,49,Stainless Steel,9995,Casual,100,"Date Display,Mineral Glass"
Casio,G-Shock GR-B200,Analog-Digital,Tough Solar,63,Resin,34995,Sport,200,"Bluetooth,Quad Sensor,Carbon Core Guard"
Casio,Vintage AQ-230,Analog-Digital,Quartz,38.8,Stainless Steel,2495,Casual,30,"Dual Time,Stopwatch,Alarm"
Casio,Edifice EFR-552,Chronograph,Quartz,47.1,Stainless Steel,7995,Casual,100,"Date Display,Mineral Glass"
Casio,G-Shock DW-5900,Digital,Quartz,51.4,Resin,6995,Sport,200,"Triple Graph,EL Backlight"
Casio,Baby-G BA-110,Analog-Digital,Quartz,46.3,Resin,7995,Sport,100,"Shock Resistant,World Time,LED Light"
Casio,Edifice EFR-304,Analog,Quartz,48.6,Stainless Steel,9495,Casual,100,"World Time,Date Display"
Casio,Vintage A168WE,Digital,Quartz,38.6,Stainless Steel,2295,Casual,30,"LED Light,Stopwatch"
Casio,G-Shock GBD-800,Digital,Quartz,54.1,Resin,8995,Sport,200,"Bluetooth,Step Tracker,Vibration Alert"
Casio,Edifice EQB-1000,Analog,Tough Solar,45.6,Stainless Steel,24995,Luxury,100,"Bluetooth,Solar,Sapphire Glass"
Casio,Vintage LA670WEA,Digital,Quartz,30.3,Stainless Steel,2195,Casual,30,"Daily Alarm,Stopwatch"
Casio,G-Shock GMA-S2100,Analog-Digital,Quartz,46.2,Resin,8995,Sport,200,"Compact Size,Carbon Core Guard"
Casio,Edifice EFR-571,Chronograph,Quartz,51,Stainless Steel,10495,Sport,100,"Date Display,Mineral Glass"
Casio,Vintage A100WE,Digital,Quartz,40.7,Stainless Steel,2995,Casual,30,"LED Light,Stopwatch"
Casio,G-Shock GA-110,Analog-Digital,Quartz,55,Resin,8995,Sport,200,"Magnetic Resistant,World Time"
Casio,Baby-G BGA-250,Analog-Digital,Quartz,45.1,Resin,6495,Sport,100,"Neon Illuminator,World Time"
Casio,Edifice EFV-610,Chronograph,Quartz,48.6,Stainless Steel,7495,Casual,100,"Date Display,Mineral Glass"
